시도,시군구,사고월,사고년도,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
시도,시군구,사고월,사고년도,01일,02일,03일,04일,05일,06일,07일,08일,09일,10일,11일,12일,13일,14일,15일,16일,17일,18일,19일,20일,21일,22일,23일,24일,25일,26일,27일,28일,29일,30일,31일
서울,종로구,12월,사고[건],5,3,8,4,2,6,2,2,3,1,2,3,1,3,7,3,2,5,2,5,6,7,2,1,1,4,2,3,4,-,1
서울,종로구,12월,사망[명],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
서울,종로구,12월,부상[명],6,4,14,4,2,9,3,2,6,2,3,4,1,5,10,3,2,5,2,5,6,12,2,1,1,4,2,4,4,-,1
서울,마포구,01월,사고[건],2,1,4,5,2,2,-,4,1,2,1,6,3,4,2,3,4,2,3,3,3,2,2,1,1,-,4,2,3,5,3
서울,마포구,01월,사망[명],0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0
서울,마포구,01월,부상[명],2,1,7,6,3,2,-,5,1,4,1,8,3,10,2,4,4,2,7,4,3,2,3,1,1,-,4,2,5,6,3
서울,마포구,02월,사고[건],6,2,3,6,4,4,2,1,2,1,1,1,1,2,1,4,4,4,5,1,5,4,-,-,5,2,4,2,-,-,-
서울,마포구,02월,사망[명],2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-,-,0,0,0,0,-,-,-
서울,마포구,02월,부상[명],6,2,3,9,4,8,2,1,3,1,1,1,1,3,1,9,6,10,4,3,7,5,-,-,6,2,6,4,-,-,-
서울,마포구,03월,사고[건],-,1,3,1,3,4,-,3,2,3,-,1,1,7,2,5,4,4,1,4,4,4,4,5,4,5,2,3,6,4,3
서울,마포구,03월,사망[명],-,0,0,0,0,0,-,0,0,0,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,마포구,03월,부상[명],-,1,3,1,5,6,-,3,2,4,-,0,1,8,2,5,5,5,1,5,5,4,4,6,4,5,2,8,7,8,5
서울,마포구,04월,사고[건],2,7,6,1,2,4,4,6,6,2,2,3,4,2,6,4,6,-,6,2,3,5,2,2,3,3,5,5,2,6,-
서울,마포구,04월,사망[명],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,-
서울,마포구,04월,부상[명],2,9,7,1,3,4,8,6,6,6,4,3,4,2,12,10,7,-,7,2,6,6,2,3,4,4,6,5,4,8,-
서울,마포구,05월,사고[건],2,5,3,7,2,2,5,3,8,1,5,3,1,4,5,3,4,6,3,5,5,2,3,4,5,3,3,5,4,2,4
서울,마포구,05월,사망[명],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,마포구,05월,부상[명],2,6,4,8,3,3,16,3,13,2,8,6,1,6,7,3,6,7,4,9,7,4,5,4,9,4,4,7,5,2,4
