,일자,종로구,마포구,강서구,구로구,영등포구,동작구,관악구,강남구,강동구,송파구,서초구,중구,양천구,중랑구,노원구,광진구,강북구,금천구,용산구,성동구,동대문구,성북구,도봉구,은평구,서대문구
52,2023-02-22,3,4,6,3,0,3,5,14,4,4,3,4,4,4,4,3,3,3,1,2,2,3,0,0,3
53,2023-02-23,2,0,3,0,5,1,2,12,2,4,7,1,3,6,2,3,2,4,2,1,2,5,2,0,2
54,2023-02-24,2,0,10,0,8,4,3,14,2,7,12,0,4,1,2,3,1,2,3,0,6,2,2,1,5
55,2023-02-25,2,5,7,3,6,5,3,14,4,7,4,3,4,4,4,3,1,4,3,2,4,3,0,2,2
56,2023-02-26,5,2,2,0,2,2,2,10,2,4,4,0,3,3,1,0,1,2,1,2,3,2,2,3,1
57,2023-02-27,2,4,6,4,4,5,1,14,5,5,4,2,9,3,5,1,1,3,5,1,9,3,1,2,1
58,2023-02-28,4,2,2,1,3,6,1,9,3,3,10,4,2,4,0,1,1,3,2,2,3,4,1,1,2
59,2023-03-01,1,0,5,4,2,2,3,4,1,4,8,1,3,1,3,1,2,3,2,0,8,2,1,0,1
60,2023-03-02,4,1,6,2,5,1,2,14,3,7,4,2,7,2,3,2,3,3,1,2,4,2,1,2,0
61,2023-03-03,1,3,5,5,5,3,3,11,1,9,4,2,5,4,3,2,0,2,1,1,5,0,3,1,1
62,2023-03-04,1,1,4,8,10,2,7,9,3,6,8,1,6,3,1,1,1,2,3,3,5,2,1,1,3
63,2023-03-05,2,3,2,1,6,5,1,4,2,1,4,3,1,3,3,1,2,3,4,0,1,3,0,1,2
64,2023-03-06,5,4,4,5,2,2,2,12,2,6,5,1,5,6,3,2,1,2,2,3,2,1,3,1,2
65,2023-03-07,1,0,2,2,4,1,0,10,3,8,6,5,3,4,3,2,1,3,3,6,7,3,2,1,0
66,2023-03-08,6,3,2,4,3,3,3,12,3,7,4,2,7,2,5,1,5,5,1,4,6,2,3,4,2
67,2023-03-09,1,2,5,0,6,2,3,4,0,10,14,3,4,0,4,1,4,4,4,2,2,4,2,6,2
68,2023-03-10,3,3,4,3,4,3,2,15,2,15,6,1,1,3,2,2,2,3,7,1,9,2,3,4,1
69,2023-03-11,0,0,0,6,5,3,3,14,2,5,6,4,5,4,2,2,2,5,0,3,10,6,2,2,2
70,2023-03-12,0,1,2,2,2,5,6,10,1,1,5,3,0,2,1,3,2,1,0,0,0,0,0,0,3
71,2023-03-13,2,1,5,1,5,3,3,11,0,3,6,4,2,2,4,1,1,4,1,5,3,4,1,4,2
