,일자,종로구,마포구,강서구,구로구,영등포구,동작구,관악구,강남구,강동구,송파구,서초구,중구,양천구,중랑구,노원구,광진구,강북구,금천구,용산구,성동구,동대문구,성북구,도봉구,은평구,서대문구
226,2023-08-15,0,3,2,2,11,3,2,5,4,5,2,2,3,1,3,1,4,1,1,1,1,3,3,4,7
227,2023-08-16,6,4,3,2,7,1,0,5,1,10,12,4,3,0,3,5,6,4,4,1,6,2,4,6,3
228,2023-08-17,5,7,3,9,3,2,1,6,4,13,6,1,2,0,5,2,3,9,3,4,3,2,2,3,2
229,2023-08-18,2,3,6,2,10,4,1,17,0,9,5,3,3,5,5,5,0,4,3,4,6,1,1,0,2
230,2023-08-19,1,3,5,3,9,6,2,6,4,9,6,3,0,2,3,5,1,1,3,5,6,3,2,6,5
231,2023-08-20,2,2,5,6,1,4,1,10,1,6,4,2,1,1,0,3,1,0,1,0,2,2,3,3,0
232,2023-08-21,5,1,1,8,4,4,5,10,9,6,7,4,2,2,4,1,3,3,3,0,4,6,0,2,4
233,2023-08-22,3,8,2,6,3,4,2,15,6,7,6,2,2,4,2,0,1,3,3,2,7,3,1,4,1
234,2023-08-23,1,3,2,3,7,5,3,15,1,9,2,3,0,4,1,1,0,4,3,2,6,2,2,3,2
235,2023-08-24,1,3,3,3,6,3,6,10,2,5,4,1,0,2,5,1,3,0,5,0,7,2,0,4,0
236,2023-08-25,2,5,7,7,9,7,3,17,7,12,10,0,1,6,5,5,6,1,11,6,7,4,1,4,10
237,2023-08-26,2,3,5,1,3,2,5,10,7,10,10,0,4,4,3,2,5,0,3,2,6,4,0,3,5
238,2023-08-27,3,5,5,2,9,3,3,4,3,6,4,0,5,5,3,2,2,2,3,1,1,0,3,1,2
239,2023-08-28,2,5,4,8,6,5,4,10,7,5,5,1,9,8,0,1,4,1,3,1,6,1,0,7,1
240,2023-08-29,2,4,2,3,5,7,4,10,3,5,5,3,2,4,4,2,1,1,2,7,8,4,1,3,5
241,2023-08-30,3,4,6,4,3,2,3,12,6,12,7,6,3,4,4,5,4,3,1,5,6,5,3,3,1
242,2023-08-31,2,3,10,1,5,6,2,16,6,6,7,1,2,4,9,2,3,3,3,5,5,4,4,1,7
243,2023-09-01,3,3,4,8,14,3,2,12,1,14,8,1,4,3,6,2,3,5,5,4,14,5,1,3,5
244,2023-09-02,0,9,3,4,8,8,3,8,5,6,7,3,4,1,5,1,1,2,4,3,7,4,3,5,3
245,2023-09-03,4,4,5,1,4,1,4,5,2,9,1,3,2,2,6,1,4,2,4,2,3,0,2,3,0
246,2023-09-04,2,2,5,3,7,2,3,10,6,3,2,1,6,5,4,1,3,3,7,2,3,8,0,4,4
247,2023-09-05,2,2,4,3,6,2,3,12,4,9,11,6,3,3,1,2,4,5,3,1,2,5,2,8,6
248,2023-09-06,1,2,5,4,4,4,3,15,5,8,7,3,2,5,3,1,2,3,4,2,3,5,1,6,5
249,2023-09-07,1,5,8,3,11,6,3,14,9,4,6,2,9,4,7,2,1,3,5,5,4,1,2,3,3
250,2023-09-08,5,7,4,3,3,6,3,12,3,6,10,2,4,6,1,4,3,3,3,4,3,4,3,3,5
251,2023-09-09,7,6,5,8,4,5,4,12,5,10,9,0,2,3,4,4,0,2,1,2,8,2,2,3,0
252,2023-09-10,3,5,0,3,8,3,5,8,3,5,4,5,3,3,5,4,4,1,3,1,3,1,0,3,0
253,2023-09-11,2,4,3,2,2,4,2,11,4,10,1,6,1,6,3,4,8,3,2,4,4,3,0,2,3
254,2023-09-12,4,4,8,2,3,4,1,15,6,9,5,3,4,5,4,1,3,3,1,2,6,5,0,0,2
255,2023-09-13,2,3,11,3,10,3,4,14,4,8,11,4,9,6,4,2,4,4,7,3,3,7,3,2,2
256,2023-09-14,5,0,4,2,7,6,1,8,4,7,8,3,4,6,8,1,2,2,3,1,2,5,1,1,4
257,2023-09-15,2,2,4,2,4,3,3,12,2,5,8,3,1,4,4,1,3,5,6,4,3,3,1,3,1
258,2023-09-16,4,7,3,9,10,7,0,13,2,9,10,1,3,1,3,0,1,1,3,0,4,7,0,7,0
259,2023-09-17,0,3,7,5,7,2,4,8,2,4,5,0,4,1,2,3,4,1,0,4,4,2,1,3,0
260,2023-09-18,2,4,5,8,5,4,2,11,4,8,9,2,4,7,4,1,7,2,2,1,2,5,1,4,2
261,2023-09-19,2,8,7,2,2,4,4,10,3,5,3,1,6,4,2,2,2,2,5,4,5,1,0,3,1
262,2023-09-20,1,4,7,7,7,3,2,12,3,8,12,3,4,3,3,2,6,1,2,5,1,6,2,8,0
263,2023-09-21,2,1,4,4,5,2,3,14,4,13,10,2,3,7,3,3,3,3,0,3,9,4,2,6,1
264,2023-09-22,5,9,10,5,2,8,5,15,8,13,7,3,7,5,7,2,1,2,2,3,11,8,2,0,1
265,2023-09-23,5,4,4,5,8,9,2,16,6,7,5,5,3,7,7,0,3,5,4,5,2,4,3,5,5
266,2023-09-24,3,4,3,0,7,5,5,8,1,1,6,0,5,2,3,1,4,1,1,5,4,2,0,1,3
267,2023-09-25,2,0,7,4,13,2,5,5,5,7,12,6,4,6,7,2,1,5,9,3,4,7,2,3,5
268,2023-09-26,4,6,9,4,5,6,1,17,0,18,11,1,4,5,8,1,4,2,2,2,3,7,1,2,2
269,2023-09-27,1,1,4,4,6,4,1,11,4,6,7,2,9,7,4,3,3,6,3,7,10,6,6,4,2
270,2023-09-28,3,2,4,3,4,4,4,4,2,5,5,0,1,2,3,1,4,0,4,2,1,1,1,1,2
271,2023-09-29,3,2,3,2,1,0,0,0,0,2,3,4,2,1,2,0,2,3,3,0,0,4,1,1,2
272,2023-09-30,1,2,3,1,1,1,2,3,2,2,5,1,3,3,2,2,5,2,3,0,2,2,2,1,0
273,2023-10-01,0,0,5,3,6,4,4,4,2,2,1,2,1,4,2,0,3,1,3,1,9,3,1,3,1
274,2023-10-02,1,2,2,4,5,4,4,5,3,9,2,0,3,1,6,0,0,3,4,3,4,6,2,0,3
275,2023-10-03,2,1,3,3,0,0,1,7,1,3,4,2,1,4,4,0,2,0,1,1,2,2,1,0,1
276,2023-10-04,3,0,10,6,6,2,1,12,2,7,6,1,2,0,4,2,2,2,1,1,8,4,3,2,0
277,2023-10-05,2,4,6,4,5,2,1,15,2,11,3,3,1,5,5,2,5,1,2,3,4,5,2,4,3
278,2023-10-06,6,4,7,4,7,3,3,12,4,3,3,4,3,4,6,2,3,3,4,2,8,5,2,3,0
279,2023-10-07,1,7,1,3,6,5,2,14,2,7,6,4,2,3,5,2,1,3,6,1,4,2,2,2,2
280,2023-10-08,0,5,4,3,1,3,0,9,1,5,1,3,1,3,2,0,5,4,2,1,3,1,0,2,1
281,2023-10-09,3,5,6,3,12,3,0,9,1,8,3,1,2,2,1,0,0,3,4,2,1,2,1,4,0
282,2023-10-10,5,2,6,5,3,0,2,10,2,5,6,5,5,3,4,2,4,5,1,4,8,2,2,5,4
283,2023-10-11,2,9,6,1,7,5,3,17,2,8,10,7,3,6,7,2,1,3,4,5,5,4,2,5,2
284,2023-10-12,5,3,4,4,6,3,4,11,1,8,4,3,3,6,4,4,4,1,6,2,4,4,2,5,8
285,2023-10-13,4,3,10,6,6,3,3,14,6,6,15,6,4,8,6,3,4,4,3,5,8,6,2,4,4
286,2023-10-14,2,4,3,4,6,3,2,14,3,7,5,2,3,5,5,2,4,3,2,6,4,2,1,3,3
287,2023-10-15,2,5,2,1,10,0,3,7,1,5,1,1,2,5,5,1,1,1,3,0,5,2,3,1,2
288,2023-10-16,3,3,4,7,5,6,1,15,6,7,6,4,5,2,3,2,2,2,1,4,6,5,0,3,3
289,2023-10-17,3,1,2,2,8,3,4,8,4,12,12,0,2,5,2,1,3,2,2,3,5,5,1,1,0
290,2023-10-18,8,5,6,3,7,4,4,20,3,6,6,6,4,2,2,1,1,1,4,6,5,4,1,3,4
291,2023-10-19,1,4,4,6,3,6,1,5,0,12,11,4,0,9,8,6,0,5,5,1,6,6,0,3,2
292,2023-10-20,8,8,4,6,7,5,3,9,2,6,11,2,2,6,10,2,2,3,3,5,6,5,0,4,2
293,2023-10-21,6,5,6,4,5,6,1,13,3,11,7,4,8,8,3,1,7,0,3,4,4,4,1,5,3
294,2023-10-22,3,3,4,2,3,5,3,6,1,5,4,3,1,2,9,2,2,5,2,0,3,0,0,2,2
295,2023-10-23,4,2,4,3,7,3,1,8,9,13,9,1,2,2,2,3,2,5,2,4,6,3,3,3,1
296,2023-10-24,1,4,3,2,6,2,0,11,2,9,10,6,3,3,5,3,4,2,3,4,2,8,1,5,2
297,2023-10-25,4,6,8,3,2,1,3,12,3,5,4,2,3,4,6,3,3,3,4,5,3,4,1,2,2
298,2023-10-26,3,7,1,4,2,4,3,12,3,11,8,2,5,3,8,2,5,3,5,4,6,4,3,6,3
299,2023-10-27,4,2,4,4,9,3,5,18,3,12,7,3,5,0,4,1,3,6,8,2,4,1,2,2,3
300,2023-10-28,2,9,2,4,7,5,2,13,6,7,8,0,7,3,8,2,4,2,4,1,5,6,0,5,4
301,2023-10-29,3,2,3,5,9,3,0,11,3,9,3,0,3,8,4,4,5,2,2,0,3,2,0,2,3
302,2023-10-30,2,3,3,9,1,6,6,8,3,8,12,0,5,2,4,4,2,2,3,0,7,7,6,5,0
303,2023-10-31,3,4,2,5,6,3,3,12,8,8,9,3,3,4,4,2,5,1,2,1,9,2,2,0,2
304,2023-11-01,4,3,6,3,7,4,3,8,2,8,2,3,0,2,3,0,1,2,1,5,8,4,0,0,4
305,2023-11-02,4,5,7,7,5,0,4,12,5,4,8,4,3,2,5,2,0,4,2,5,4,7,2,3,1
306,2023-11-03,1,4,4,7,2,7,2,14,3,6,8,10,3,5,2,3,4,4,3,1,5,7,1,2,9
307,2023-11-04,3,4,3,4,8,3,0,16,5,13,3,1,3,1,3,1,2,1,5,2,5,1,1,1,6
308,2023-11-05,4,3,4,5,3,6,2,5,5,10,7,5,2,2,5,2,4,2,4,0,7,4,1,1,2
309,2023-11-06,3,1,3,3,6,2,0,17,1,13,9,2,2,4,6,1,2,3,2,3,7,6,3,5,3
310,2023-11-07,1,9,5,5,8,5,2,16,7,11,2,3,7,4,6,2,2,2,2,3,2,4,3,7,2
311,2023-11-08,4,3,8,6,10,7,3,19,2,10,12,2,2,5,3,1,1,3,4,1,10,5,0,5,4
312,2023-11-09,2,0,2,3,6,3,3,12,2,10,5,3,5,1,9,3,4,1,5,4,6,3,1,3,2
313,2023-11-10,1,2,4,4,9,6,1,20,5,7,13,4,1,7,3,4,2,4,1,6,6,6,1,7,2
314,2023-11-11,1,5,7,2,5,1,7,14,5,6,4,4,7,3,3,3,2,5,3,2,5,1,2,7,2
315,2023-11-12,1,0,2,6,8,0,2,9,2,7,6,1,2,3,4,1,2,1,1,0,1,3,1,4,3
316,2023-11-13,2,3,2,7,4,5,5,10,6,6,6,2,3,6,4,1,2,1,6,4,5,6,2,3,4
317,2023-11-14,4,5,6,3,3,1,5,14,5,15,2,3,3,3,3,4,1,2,2,1,7,5,1,6,4
318,2023-11-15,4,6,7,4,5,1,1,7,6,9,11,2,6,5,5,2,5,3,5,1,1,3,3,4,0
319,2023-11-16,3,6,6,7,6,3,3,9,1,9,5,1,5,6,5,2,4,2,2,1,5,6,0,7,1
320,2023-11-17,2,6,3,4,11,4,4,13,7,7,5,2,9,2,5,3,3,4,1,4,3,2,1,2,5
321,2023-11-18,3,2,3,3,3,5,1,11,5,3,7,4,3,1,1,6,3,2,0,1,4,3,2,3,3
322,2023-11-19,3,0,4,2,2,3,1,3,7,4,0,0,2,4,4,0,0,4,4,3,5,2,0,2,1
323,2023-11-20,3,3,3,6,3,6,1,11,2,5,7,5,3,7,3,2,2,3,2,0,7,7,2,2,2
324,2023-11-21,2,2,9,2,6,2,2,12,3,10,5,5,7,3,5,1,1,1,4,9,9,1,2,3,2
325,2023-11-22,1,4,5,4,13,3,4,6,2,8,11,3,6,3,3,3,2,2,5,4,4,8,0,4,1
326,2023-11-23,4,5,5,4,5,0,3,10,4,7,6,3,5,2,4,1,3,0,2,2,6,5,1,5,2
327,2023-11-24,5,1,3,5,10,4,3,13,3,11,7,4,5,8,2,5,4,3,5,2,10,2,0,3,4
328,2023-11-25,4,4,1,8,7,4,3,11,4,7,4,6,3,2,7,2,4,0,3,3,3,5,0,3,2
329,2023-11-26,3,1,0,4,5,3,1,5,2,2,5,1,2,4,4,0,4,4,4,0,3,2,1,0,2
330,2023-11-27,1,2,2,2,5,5,5,10,4,10,9,2,6,2,4,3,3,6,2,3,3,3,1,2,3
331,2023-11-28,2,5,6,3,6,0,2,21,2,9,5,4,2,4,1,5,6,4,1,2,5,7,2,2,4
332,2023-11-29,1,6,3,6,3,4,1,14,1,5,8,3,1,2,1,1,2,3,2,5,7,5,1,2,5
333,2023-11-30,4,4,3,2,8,3,2,16,5,3,12,6,2,2,4,3,6,0,3,5,7,4,2,2,2
334,2023-12-01,5,6,7,4,6,2,5,15,4,7,7,8,2,4,4,2,4,1,1,2,2,8,0,5,3
335,2023-12-02,3,4,8,5,9,3,1,12,2,8,6,2,4,5,8,3,2,2,4,3,5,5,1,2,4
336,2023-12-03,8,8,3,4,7,7,2,3,1,8,2,2,4,3,5,1,1,0,3,2,1,2,1,2,2
337,2023-12-04,4,3,3,4,6,2,2,14,0,6,7,6,5,2,3,0,5,3,1,4,3,3,2,2,2
338,2023-12-05,2,0,4,9,7,4,1,10,3,2,5,1,3,1,4,1,3,1,2,1,11,3,2,2,10
339,2023-12-06,6,2,4,3,4,4,3,11,1,11,7,1,2,11,1,2,3,0,2,3,4,4,0,3,1
340,2023-12-07,2,3,2,3,5,1,0,11,2,7,7,0,3,1,7,3,2,1,1,4,4,2,1,4,1
341,2023-12-08,2,6,4,6,4,3,3,8,1,8,9,2,3,6,5,4,5,3,2,4,4,4,3,6,5
342,2023-12-09,3,2,3,4,2,4,2,11,6,10,2,1,0,4,5,4,1,1,1,2,3,1,3,4,6
343,2023-12-10,1,5,2,2,4,5,2,4,1,6,2,2,2,0,4,2,4,3,2,1,3,3,4,1,1
344,2023-12-11,2,4,3,3,5,6,1,12,5,6,6,3,5,0,5,2,5,3,5,3,5,5,3,3,3
345,2023-12-12,3,2,4,4,2,2,1,7,7,10,8,0,6,6,1,3,1,4,3,2,7,5,2,7,4
346,2023-12-13,1,3,5,6,7,2,3,17,6,6,10,1,3,3,5,4,2,3,3,3,5,3,1,3,3
347,2023-12-14,3,3,3,7,10,5,1,22,1,11,21,7,5,3,6,2,2,4,4,4,6,4,1,1,2
348,2023-12-15,7,4,3,5,11,5,1,14,3,15,7,3,3,4,5,3,4,5,1,5,6,2,3,4,4
349,2023-12-16,3,7,4,4,13,6,3,14,4,10,8,0,3,3,8,3,5,3,5,6,6,9,0,8,3
350,2023-12-17,2,0,1,4,6,5,1,8,4,1,3,3,2,3,6,1,1,1,1,0,0,2,3,4,4
351,2023-12-18,5,2,4,3,5,2,3,14,1,4,6,2,2,2,6,3,2,6,5,2,4,8,1,1,0
352,2023-12-19,2,2,1,3,1,3,2,12,3,13,4,3,2,2,3,1,2,1,4,3,5,9,1,2,2
353,2023-12-20,5,3,8,2,1,1,2,15,4,10,3,8,3,5,0,2,2,2,1,3,5,4,1,4,5
354,2023-12-21,6,4,10,5,7,0,3,26,8,8,7,3,9,6,3,2,0,6,7,7,6,4,3,0,5
355,2023-12-22,7,7,5,10,12,2,3,24,12,11,14,7,6,4,8,2,5,3,4,3,7,9,0,3,5
356,2023-12-23,2,3,2,6,13,4,5,11,3,15,8,1,5,6,6,5,5,5,5,4,7,4,1,4,6
357,2023-12-24,1,3,3,4,5,2,1,5,2,1,1,1,2,3,6,1,3,1,1,0,4,4,2,1,1
358,2023-12-25,1,1,2,2,1,3,1,4,0,6,2,2,2,4,1,1,0,1,3,0,6,3,0,0,0
359,2023-12-26,4,4,4,5,5,5,2,13,4,7,6,0,2,5,5,1,4,2,2,3,4,3,5,3,1
360,2023-12-27,2,1,1,3,5,4,2,12,1,10,3,5,2,5,5,3,2,4,3,2,6,6,0,6,2
361,2023-12-28,3,4,5,1,7,3,5,13,2,10,6,1,5,2,3,4,2,1,1,1,6,3,1,3,1
362,2023-12-29,4,5,8,7,2,9,4,14,6,9,5,1,4,7,5,3,4,5,4,2,3,5,2,1,1
363,2023-12-30,0,1,2,5,3,2,1,4,3,10,2,2,4,3,7,4,3,1,1,5,3,3,0,1,3
364,2023-12-31,1,2,1,2,4,0,0,3,0,3,1,1,2,0,1,1,2,4,0,2,2,1,1,4,1
